x,y,f_x,f_y
-1.0066216392088962,-7.038513665964506,1.592887735816481,-4.026486556835585
-0.9906927618507314,-7.078778531532862,1.6029685270878817,-3.9627710474029256
-0.9746630765798526,-7.118406242006891,1.613016870079907,-3.8986523063194105
-0.9585329078790535,-7.157392765070085,1.623032072077901,-3.834131631516214
-0.9423025871582745,-7.195734081385248,1.6330133701371703,-3.769210348633098
-0.9259724534569028,-7.233426184871579,1.6429599299113844,-3.7038898138276113
-0.909542854157789,-7.270465083009856,1.6528708444736322,-3.638171416631156
-0.8930141457130527,-7.306846797176167,1.6627451331317176,-3.572056582852211
-0.8763866943817356,-7.342567363004689,1.6725817402394045,-3.505546777526942
-0.8596608769793415,-7.377622830779958,1.6823795340054593,-3.438643507917366
-0.8428370816392868,-7.412009265859132,1.6921373053024786,-3.3713483265571473
-0.8259157085862621,-7.4457227491247036,1.7018537664776368,-3.3036628343450483
-0.8088971709214857,-7.478759377468154,1.7115275501676286,-3.235588683685943
-0.7917818954198095,-7.511115264305014,1.7211572081202415,-3.167127581679238
-0.7745703233386071,-7.542786540121806,1.7307412100251431,-3.0982812933544284
-0.7572629112383557,-7.573769353055351,1.7402779423566308,-3.0290516449534226
-0.7398601318147894,-7.604059869504885,1.7497657072312514,-2.9594405272591575
-0.7223624747424768,-7.633654274777477,1.7592027212833656,-2.8894498989699073
-0.7047704475296431,-7.662548773767176,1.7685871145619,-2.8190817901185725
-0.6870845763840241,-7.690739591668361,1.777916929451702,-2.7483383055360964
-0.669305407089507,-7.718222974723722,1.7871901196230877,-2.677221628358028
-0.6514335058932762,-7.744995191007303,1.7964045490133427,-2.605734023573105
-0.6334694604031428,-7.771052531243034,1.8055579908441262,-2.533877841612571
-0.6154138804947015,-7.7963913096591595,1.814648126678893,-2.461655521978806
-0.5972673992279125,-7.821007864878948,1.8236725455246365,-2.38906959691165
-0.5790306737726661,-7.844898560848065,1.8326287429824373,-2.3161226950906646
-0.5607043863428418,-7.8680597877989715,1.8415141204514713,-2.2428175453713672
-0.5422892451383271,-7.890487963252685,1.850325984391322,-2.1691569805533084
-0.5237859852944139,-7.912179533058218,1.8590615456476107,-2.0951439411776556
-0.5051953698379378,-7.9331309724699945,1.8677179188461313,-2.020781479351751
-0.4865181906494765,-7.953338787263512,1.8762921218608568,-1.946072762597906
-0.4677552694308679,-7.972799514889491,1.8847810753613388,-1.8710210777234717
-0.44890745867725457,-7.991509725666726,1.893181602445192,-1.7956298347090183
-0.42997564265280264,-8.009466024013816,1.9014904283615104,-1.7199025706112105
-0.41096073836918756,-8.026665049719929,1.9097041803312025,-1.6438429534767502
-0.39186369656587555,-8.043103479254697,1.9178193874703866,-1.5674547862635022
-0.3726855026911717,-8.058778027117333,1.9258324808231044,-1.4907420107646867
-0.35342717788294065,-8.07368544722498,1.9337397935097402,-1.4137087115317626
